,interaction_id,interaction_type,id_bacterium,acc_bacterium,bact_strain,bact_specie,bact_genus,id_phage,acc_phage,phage_name
0,9372,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4647,KJ410132,Mycobacterium_phage_20ES
1,9373,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4649,DQ398041,Mycobacterium_phage_244
2,9374,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4650,KJ028219,Mycobacterium_phage_32HC
3,9375,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4651,KJ433973,Mycobacterium_phage_39HC
4,9376,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4652,KJ192196,Mycobacterium_phage_40AC
5,9377,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4653,KJ433975,Mycobacterium_phage_40BC
6,9379,1,4657,NZ_APVM00000000.1,1326,Streptomyces lividans,Streptomyces,4656,NA,Streptomyces_phage_AbbeyMikolon
7,9380,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4658,NA,Mycobacterium_phage_AbbyPaige
8,9381,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4659,NA,Mycobacterium_phage_AbbysRanger
9,9382,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4660,KF188414,Mycobacterium_phage_ABCat
10,9383,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4661,KY083058,Mycobacterium_phage_Abdiel
11,9384,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,4662,MF140397,Arthrobacter_phage_Abidatro
12,9385,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4664,KM597531,Mycobacterium_phage_Abrogate
13,9387,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4666,JF704091,Mycobacterium_phage_ABU
14,9388,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4667,JN699007,Mycobacterium_phage_Acadian
15,9389,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4668,NA,Mycobacterium_phage_ACFishhook
16,9390,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4669,KY083059,Mycobacterium_phage_Achebe
17,9391,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4670,NA,Mycobacterium_phage_Acme
18,9392,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4671,NA,Mycobacterium_phage_Acquire49
19,9393,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4672,NA,Mycobacterium_phage_ActinUp
20,9394,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4673,NA,Mycobacterium_phage_Adahisdi
21,9395,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,4674,MF668266,Arthrobacter_phage_Adat
22,9396,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4675,JF704105,Mycobacterium_phage_Adephagia
23,9397,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4676,NA,Gordonia_phage_Adgers
24,9398,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4678,NA,Mycobacterium_phage_Ading
25,9399,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4679,EU676000,Mycobacterium_phage_Adjutor
26,9400,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4680,NA,Mycobacterium_phage_Adlitam
27,9401,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4681,NA,Mycobacterium_phage_Adnama
28,9402,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4682,NA,Mycobacterium_phage_Adonis
29,9403,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4683,KF416344,Mycobacterium_phage_Adzzy
30,9404,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4684,JQ809703,Mycobacterium_phage_Aeneas
31,9405,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4685,NA,Gordonia_phage_Affeca
32,9406,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4686,NA,Mycobacterium_phage_AFIS
33,9407,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4687,NA,Gordonia_phage_Agatha
34,9408,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4688,MG099934,Mycobacterium_phage_AgentM
35,9409,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4689,NA,Mycobacterium_phage_Aggie
36,9410,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4690,KX507362,Mycobacterium_phage_Aglet
37,9411,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4691,NA,Mycobacterium_phage_AgronaGT15
38,9412,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4692,NA,Gordonia_phage_Ailee
39,9413,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4693,JN083853,Mycobacterium_phage_Airmid
40,9414,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4694,JN699006,Mycobacterium_phage_Akoma
41,9415,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4695,NA,Gordonia_phage_AlainaMarie
42,9416,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4696,KR080200,Mycobacterium_phage_AlanGrant
43,9424,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4705,KX817175,Mycobacterium_phage_Albee
44,9425,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4706,NA,Mycobacterium_phage_Alexphander
45,9426,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4707,JF704092,Mycobacterium_phage_Alice
46,9427,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4708,NA,Mycobacterium_phage_AlishaPH
47,9428,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4709,NA,Mycobacterium_phage_Aliter
48,9429,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4710,MF185717,Mycobacterium_phage_AlleyCat
49,9430,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4711,JN699005,Mycobacterium_phage_Alma
50,9438,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4713,KJ174156,Mycobacterium_phage_Alsfro
51,9439,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4714,NA,Mycobacterium_phage_AltPhacts
52,9440,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4715,NA,Mycobacterium_phage_Altwerkus
53,9441,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4716,KP027205,Mycobacterium_phage_Alvin
54,9442,1,4718,NC_018750.1,ATCC 10712,Streptomyces venezuelae,Streptomyces,4717,KT186228,Streptomyces_phage_Amela
55,9443,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4719,KX808132,Mycobacterium_phage_Amelie
56,9444,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4720,MF324915,Mycobacterium_phage_Amgine
57,9445,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,4721,KU160638,Arthrobacter_phage_Amigo
58,9446,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4722,MF140398,Mycobacterium_phage_Amohnition
59,9447,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4723,MG099935,Gordonia_phage_Anamika
60,9448,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,4724,KU160639,Arthrobacter_phage_Anansi
61,9452,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4729,JF704106,Mycobacterium_phage_Anaya
62,9453,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4730,MG099936,Mycobacterium_phage_Andies
63,9454,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4731,FJ973624,Mycobacterium_phage_Angel
64,9455,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4732,HM152764,Mycobacterium_phage_Angelica
65,9456,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4733,NA,Gordonia_phage_Angelicage
66,9457,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4734,NA,Gordonia_phage_Angelique
67,9458,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4735,NA,Mycobacterium_phage_Anglerfish
68,9467,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4738,KF024721,Mycobacterium_phage_AnnaL29
69,9468,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4739,KT365399,Mycobacterium_phage_Annihilator
70,9469,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4740,NA,Mycobacterium_phage_Annyong
71,9470,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4741,NA,Gordonia_phage_Anon
72,9471,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4742,MF919490,Mycobacterium_phage_Anselm
73,9472,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4743,NA,Gordonia_phage_Antonio
74,9473,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4744,KF279418,Mycobacterium_phage_Anubis
75,9474,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4745,NA,Gordonia_phage_Aphelion
76,9475,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4746,KR781349,Mycobacterium_phage_Apizium
77,9476,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4747,MF668267,Mycobacterium_phage_Apocalypse
78,9484,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4749,MF185726,Mycobacterium_phage_Appletree2
79,9485,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4750,NA,Gordonia_phage_Apricot
80,9486,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,4751,MF919491,Propionibacterium_phage_Aquarius
81,9487,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4753,MG099937,Mycobacterium_phage_Aragog
82,9488,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4754,JN618996,Mycobacterium_phage_Arbiter
83,9489,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,4755,MF189170,Arthrobacter_phage_Arcadia
84,9490,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4756,NA,Mycobacterium_phage_Arcanine
85,9491,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4757,KU761559,Mycobacterium_phage_ArcherNM
86,9492,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4758,KC748970,Mycobacterium_phage_ArcherS7
87,9493,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4759,MG099938,Mycobacterium_phage_Archetta
88,9494,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4760,KT591489,Mycobacterium_phage_Archie
89,9495,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4761,NA,Mycobacterium_phage_ArcusAngelus
90,9496,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4762,GU060500,Mycobacterium_phage_Ardmore
91,9497,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4763,JN699004,Mycobacterium_phage_Ares
92,9498,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4764,NA,Mycobacterium_phage_Arib1
93,9499,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4765,KM400683,Mycobacterium_phage_Ariel
94,9500,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4766,MF668268,Mycobacterium_phage_Aroostook
95,9501,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4767,KF560333,Mycobacterium_phage_Artemis2UCLA
96,9502,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4768,JX307702,Mycobacterium_phage_Arturo
97,9533,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4785,NA,Gordonia_phage_Asapag
98,9535,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4788,NA,Gordonia_phage_Ashertheman
99,9536,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4789,NA,Mycobacterium_phage_Ashraf
100,9537,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4790,NA,Mycobacterium_phage_Asriel
101,9539,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4792,KC691257,Mycobacterium_phage_Astraea
102,9540,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4793,JX015524,Mycobacterium_phage_Astro
103,9577,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4814,JN699003,Mycobacterium_phage_Athena
104,9578,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4815,NA,Mycobacterium_phage_Atiba
105,9579,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4816,NA,Mycobacterium_phage_Atkinbua
106,9580,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4817,NA,Mycobacterium_phage_Atlantean
107,9581,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,4818,KR337651,Propionibacterium_phage_Attacne
108,9582,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4819,KU963247,Gordonia_phage_Attis
109,9583,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4820,KJ194581,Mycobacterium_phage_Audrey
110,9584,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4821,MF919493,Mycobacterium_phage_Audrick
111,9585,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4822,NA,Mycobacterium_phage_AugsMagnumOpus
112,9586,1,4718,NC_018750.1,ATCC 10712,Streptomyces venezuelae,Streptomyces,4823,NA,Streptomyces_phage_Austintatious
113,9587,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4824,JQ911768,Mycobacterium_phage_Ava3
114,9588,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4825,NA,Mycobacterium_phage_AvadaKedavra
115,9589,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4826,JQ809702,Mycobacterium_phage_Avani
116,9590,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4827,NA,Mycobacterium_phage_AvatarAhPeg
117,9591,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4828,MF141540,Mycobacterium_phage_Avocado
118,9592,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4829,JN699002,Mycobacterium_phage_Avrafan
119,9593,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4830,NA,Mycobacterium_phage_Awesomesauce
120,9594,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,4831,NA,Arthrobacter_phage_Azathoth
121,9601,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4834,NA,Mycobacterium_phage_BabeRuth
122,9602,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4835,NA,Mycobacterium_phage_BaboJay
123,9603,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4836,JN699001,Mycobacterium_phage_Babsiella
124,9604,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4837,NA,Mycobacterium_phage_Baby16
125,9606,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4839,KX683423,Mycobacterium_phage_BabyRay
126,9607,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4840,KU998247,Gordonia_phage_Bachita
127,9608,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4841,NA,Mycobacterium_phage_Bachome
128,9609,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4842,JF704093,Mycobacterium_phage_Backyardigan
129,9610,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4843,KU568494,Mycobacterium_phage_Bactobuster
130,9611,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4844,NA,Mycobacterium_phage_BadAgartude
131,9612,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4845,KJ194580,Mycobacterium_phage_Badfish
132,9613,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4846, KX550442,Mycobacterium_phage_Badger
133,9614,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4847,KR080199,Mycobacterium_phage_Baee
134,9615,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4848,KX683875,Mycobacterium_phage_Baehexic
135,9616,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4849,JF937090,Mycobacterium_phage_BAKA
136,9618,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4852,NA,Mycobacterium_phage_Bangla1971
137,9619,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4853,NA,Mycobacterium_phage_Banjo
138,9620,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4854,NA,Gordonia_phage_Banquo
139,9621,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4855,KX557272,Gordonia_phage_Bantam
140,9622,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4856,NA,Gordonia_phage_Barb
141,9623,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4857,NA,Mycobacterium_phage_Barbarian
142,9624,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4858,NA,Gordonia_phage_Barco
143,9625,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4859,AY129339,Mycobacterium_phage_Barnyard
144,9626,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4860,JN643714,Mycobacterium_phage_BarrelRoll
145,9627,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,4861,KU647629,Arthrobacter_phage_BarretLemon
146,9628,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4862,KR997929,Mycobacterium_phage_Barriga
147,9629,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4863,MF140399,Mycobacterium_phage_Bartholomew
148,9630,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4864,NA,Mycobacterium_phage_Bartimeaus
149,9631,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4865,JF937091,Mycobacterium_phage_Bask21
150,9632,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4866,NA,Mycobacterium_phage_Batiatus
151,9633,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4867,KX557273,Gordonia_phage_BatStarr
152,9634,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4868,NA,Mycobacterium_phage_BatteryCK
153,9635,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4869,KU963263,Gordonia_phage_BaxterFox
154,9637,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,4871,MF324907,Arthrobacter_phage_Beans
155,9638,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4872,MF919494,Mycobacterium_phage_BeanWater
156,9639,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4873,NA,Mycobacterium_phage_Beatrix
157,9640,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,4874,NA,Arthrobacter_phage_BeatusComedenti
158,9641,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4875,NA,Mycobacterium_phage_Beauxregard13
159,9642,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4876,NA,Gordonia_phage_Beenie
160,9643,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4877,NA,Mycobacterium_phage_BeesKnees
161,9644,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4878,NA,Mycobacterium_phage_BEEST
162,9645,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4879,NA,Mycobacterium_phage_Beezoo
163,9653,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4881,MF377440,Mycobacterium_phage_Bella96
164,9654,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4882,NA,Mycobacterium_phage_Belladonna
165,9655,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4883,KF841475,Mycobacterium_phage_BellusTerra
166,9656,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4884,KU963262,Gordonia_phage_Benczkowski14
167,9657,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4885,JN083852,Mycobacterium_phage_Benedict
168,9658,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,4886,KU160640,Arthrobacter_phage_Bennie
169,9659,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4887,MG099939,Gordonia_phage_BENtherdunthat
170,9660,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4888,KJ510413,Mycobacterium_phage_Bernal13
171,9661,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4889,KF493879,Mycobacterium_phage_Bernardo
172,9662,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4890,AY500153,Mycobacterium_phage_Bethlehem
173,9663,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4891,KU963261,Gordonia_phage_BetterKatz
174,9664,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4892,NA,Gordonia_phage_Beyoncage
175,9665,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4893,NA,Gordonia_phage_Bialota
176,9666,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4894,NA,Mycobacterium_phage_BiancaTri92
177,9667,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4895,NA,Gordonia_phage_Bibwit
178,9668,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4896,NA,Mycobacterium_phage_Big3
179,9669,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4897,NA,Mycobacterium_phage_BigCheese
180,9670,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4898,KX702320,Mycobacterium_phage_Bigfoot
181,9671,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4899,NA,Mycobacterium_phage_Biglebops
182,9672,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,4900,NA,Arthrobacter_phage_BigMack
183,9673,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4901,NA,Mycobacterium_phage_BigMama
184,9674,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4902,JN412591,Mycobacterium_phage_BigNuz
185,9675,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4903,NA,Mycobacterium_phage_BigPhil
186,9676,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4904,MF919495,Mycobacterium_phage_Bigswole
187,9677,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4905,JN699000,Mycobacterium_phage_BillKnuckles
188,9678,1,4657,NZ_APVM00000000.1,1326,Streptomyces lividans,Streptomyces,4906,NA,Streptomyces_phage_Bing
189,9679,1,4718,NC_018750.1,ATCC 10712,Streptomyces venezuelae,Streptomyces,4907,KY092483,Streptomyces_phage_Bioscum
190,9680,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4908,NA,Gordonia_phage_BiPauneto
191,9681,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4909,KM597530,Mycobacterium_phage_Bipolar
192,9682,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4910,NA,Mycobacterium_phage_Bipolarisk
193,9683,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4911,KU728633,Mycobacterium_phage_Bipper
194,9685,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4913,KX522649,Mycobacterium_phage_Bircsak
195,9686,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4914,MG099940,Gordonia_phage_BirksAndSocks
196,9687,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4915,MG099941,Gordonia_phage_Bjanes7
197,9688,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4916,NA,Mycobacterium_phage_Blackbeetle
198,9689,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4917,MG099942,Mycobacterium_phage_Blackmoor
199,9690,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4918,NA,Mycobacterium_phage_BlackStallion
200,9691,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,4919,NA,Arthrobacter_phage_Blair
201,9692,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4920,KY224001,Mycobacterium_phage_Blue
202,9693,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4921,JN698999,Mycobacterium_phage_Blue7
203,9694,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,4922,KU998236,Gordonia_phage_Blueberry
204,9696,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,4924,NA,Mycobacterium_phage_Bob3
