,interaction_id,interaction_type,id_bacterium,acc_bacterium,bact_strain,bact_specie,bact_genus,id_phage,acc_phage,phage_name
1146,10899,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5983,EU770221,Mycobacterium_phage_Nigel
1147,10900,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,5984,MF140423,Arthrobacter_phage_Nightmare
1148,10901,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5985,NA,Mycobacterium_phage_Niklas
1149,10902,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,5986,MF038790,Arthrobacter_phage_Niktson
1150,10903,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5987,NA,Mycobacterium_phage_Nilo
1151,10904,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,5988,NA,Gordonia_phage_Nimi13
1152,10905,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5989,NA,Mycobacterium_phage_Nimrod
1153,10906,1,5904,NZ_JNXA00000000.1,NRRL B-16283,Gordonia terrae,Gordonia,5990,NA,Gordonia_phage_Nina
1154,10907,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5991,NA,Mycobacterium_phage_Nitzel
1155,10908,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5992,NA,Mycobacterium_phage_Niza
1156,10909,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5993,NA,Mycobacterium_phage_NoodleTree
1157,10911,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5995,NA,Mycobacterium_phage_Norbert
1158,10912,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,5996,NA,Gordonia_phage_Nordenberg
1159,10913,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5997,NA,Mycobacterium_phage_Norm
1160,10914,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,5998,NA,Mycobacterium_phage_NorthStar
1161,10915,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,5999,NA,Gordonia_phage_NosilaM
1162,10916,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6000,KT020852,Mycobacterium_phage_NoSleep
1163,10917,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6001,JN699014,Mycobacterium_phage_Nova
1164,10919,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,6003,MF140424,Arthrobacter_phage_Nubia
1165,10920,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6004,NA,Mycobacterium_phage_NuevoMundo
1166,10921,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,6005,KX557282,Gordonia_phage_Nyceirae
1167,10922,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,6006,KU963255,Gordonia_phage_Nymphadora
1168,10923,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6007,KF954506,Mycobacterium_phage_Nyxis
1169,10924,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6008,KF986247,Mycobacterium_phage_Oaker
1170,10925,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6009,KF959563,Mycobacterium_phage_Obama12
1171,10926,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,6010,KU963254,Gordonia_phage_Obliviate
1172,10927,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6011,KT246485,Mycobacterium_phage_OBUpride
1173,10928,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6012,NA,Mycobacterium_phage_OctaviousRex
1174,10929,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6013,KF017927,Mycobacterium_phage_Odin
1175,10930,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6014,NA,Mycobacterium_phage_OfUltron
1176,10931,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6015,NA,Mycobacterium_phage_Ogopogo
1177,10932,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6016,MF773750,Mycobacterium_phage_OKCentral2016
1178,10933,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6017,KJ567042,Mycobacterium_phage_OkiRoe
