,acc_bact,design_phage,id_bact,id_phage,interaction_id_old_db
163,NC_018289.1,Mycobacterium_phage_Bella96,5859,2112,9653
164,NC_018289.1,Mycobacterium_phage_Belladonna,5859,2113,9654
165,NC_018289.1,Mycobacterium_phage_BellusTerra,5859,5355,9655
166,NZ_CP016594.1,Gordonia_phage_Benczkowski14,1869,2114,9656
167,NC_018289.1,Mycobacterium_phage_Benedict,5859,2115,9657
168,NZ_CP014196.1,Arthrobacter_phage_Bennie,153,2116,9658
169,NZ_CP016594.1,Gordonia_phage_BENtherdunthat,1869,2117,9659
170,NC_018289.1,Mycobacterium_phage_Bernal13,5859,5356,9660
171,NC_018289.1,Mycobacterium_phage_Bernardo,5859,5357,9661
172,NC_018289.1,Mycobacterium_phage_Bethlehem,5859,2118,9662
173,NZ_CP016594.1,Gordonia_phage_BetterKatz,1869,5358,9663
174,NZ_CP016594.1,Gordonia_phage_Beyoncage,1869,2119,9664
175,NZ_CP016594.1,Gordonia_phage_Bialota,1869,2120,9665
176,NC_018289.1,Mycobacterium_phage_BiancaTri92,5859,2121,9666
177,NZ_CP016594.1,Gordonia_phage_Bibwit,1869,2122,9667
178,NC_018289.1,Mycobacterium_phage_Big3,5859,2123,9668
179,NC_018289.1,Mycobacterium_phage_BigCheese,5859,2124,9669
180,NC_018289.1,Mycobacterium_phage_Bigfoot,5859,2125,9670
181,NC_018289.1,Mycobacterium_phage_Biglebops,5859,2126,9671
182,NZ_CP014196.1,Arthrobacter_phage_BigMack,153,2127,9672
183,NC_018289.1,Mycobacterium_phage_BigMama,5859,2128,9673
184,NC_018289.1,Mycobacterium_phage_BigNuz,5859,5359,9674
185,NC_018289.1,Mycobacterium_phage_BigPhil,5859,2129,9675
186,NC_018289.1,Mycobacterium_phage_Bigswole,5859,2130,9676
187,NC_018289.1,Mycobacterium_phage_BillKnuckles,5859,2131,9677
188,NZ_APVM00000000.1,Streptomyces_phage_Bing,5787,2132,9678
189,NC_018750.1,Streptomyces_phage_Bioscum,126,2133,9679
190,NZ_CP016594.1,Gordonia_phage_BiPauneto,1869,2134,9680
191,NC_018289.1,Mycobacterium_phage_Bipolar,5859,5360,9681
192,NC_018289.1,Mycobacterium_phage_Bipolarisk,5859,2135,9682
193,NC_018289.1,Mycobacterium_phage_Bipper,5859,5361,9683
194,NC_018289.1,Mycobacterium_phage_Bircsak,5859,2137,9685
195,NZ_CP016594.1,Gordonia_phage_BirksAndSocks,1869,2138,9686
196,NZ_CP016594.1,Gordonia_phage_Bjanes7,1869,2139,9687
197,NC_018289.1,Mycobacterium_phage_Blackbeetle,5859,2140,9688
198,NC_018289.1,Mycobacterium_phage_Blackmoor,5859,2141,9689
199,NC_018289.1,Mycobacterium_phage_BlackStallion,5859,2142,9690
200,NZ_CP014196.1,Arthrobacter_phage_Blair,153,2143,9691
201,NC_018289.1,Mycobacterium_phage_Blue,5859,2144,9692
202,NC_018289.1,Mycobacterium_phage_Blue7,5859,5362,9693
203,NZ_CP016594.1,Gordonia_phage_Blueberry,1869,5363,9694
204,NC_018289.1,Mycobacterium_phage_Bob3,5859,2146,9696
205,NC_018289.1,Mycobacterium_phage_BobaPhett,5859,2147,9697
206,NC_018289.1,Mycobacterium_phage_Bobby,5859,2148,9698
207,NC_018289.1,Mycobacterium_phage_Bobi,5859,5364,9706
208,NC_018289.1,Mycobacterium_phage_BobsGarage,5859,2150,9707
209,NC_018289.1,Mycobacterium_phage_BobSwaget,5859,2151,9708
210,NZ_CP016594.1,Gordonia_phage_Bock,1869,2152,9709
211,NZ_CP014196.1,Arthrobacter_phage_Boersma,153,2153,9710
212,NC_018289.1,Mycobacterium_phage_Bogie,5859,2154,9711
213,NZ_CP016594.1,Gordonia_phage_Boneham,1869,2156,9719
214,NC_018289.1,Mycobacterium_phage_Bongo,5859,2157,9720
215,NC_018289.1,Mycobacterium_phage_Boomer,5859,2158,9721
216,NZ_CP014196.1,Arthrobacter_phage_BossLady,153,2159,9722
217,NZ_CP016594.1,Gordonia_phage_Bowser,1869,5365,9724
218,NC_018289.1,Mycobacterium_phage_Bowtie,5859,2161,9725
219,NC_018289.1,Mycobacterium_phage_Boyle,5859,2162,9726
220,NC_018289.1,Mycobacterium_phage_BPBiebs31,5859,2163,9727
221,NC_018289.1,Mycobacterium_phage_BPs,5859,2164,9728
222,NC_018289.1,Mycobacterium_phage_BQuat,5859,2165,9729
223,NZ_CP014196.1,Arthrobacter_phage_Brad,153,2166,9730
224,NZ_CP016594.1,Gordonia_phage_Brandonk123,1869,2168,9738
225,NC_018750.1,Streptomyces_phage_Brataylor,126,2169,9739
226,NC_018289.1,Mycobacterium_phage_Breeniome,5859,5366,9740
227,NC_018289.1,Mycobacterium_phage_Breezona,5859,2170,9741
