organism_ptr_id,designation,baltimore_classification_id
2173,Mycobacterium_phage_Bricole,NULL
2174,Mycobacterium_phage_Briton15,NULL
2175,Streptomyces_phage_BRock,NULL
2176,Mycobacterium_phage_Broseidon,NULL
2177,Mycobacterium_phage_Brownie5,NULL
2178,Mycobacterium_phage_BruceB,NULL
2179,Mycobacterium_phage_Bruiser,NULL
2180,Mycobacterium_phage_Brujita,NULL
2181,Mycobacterium_phage_Bruns,NULL
2182,Streptomyces_phage_BryanRecycles,NULL
2183,Rhodococcus_phage_Bryce,NULL
2184,Mycobacterium_phage_Bubbles123,NULL
2185,Mycobacterium_phage_BubbleTrouble,NULL
2186,Mycobacterium_phage_Buck,NULL
2187,Mycobacterium_phage_Buckeye,NULL
2188,Mycobacterium_phage_Bud,NULL
2189,Gordonia_phage_Buggaboo,NULL
2190,Mycobacterium_phage_Bugsy,NULL
2191,Mycobacterium_phage_Bumblebee11,NULL
2192,Mycobacterium_phage_Bunnies,NULL
2193,Mycobacterium_phage_Burger,NULL
2194,Gordonia_phage_Butterball,NULL
2195,Mycobacterium_phage_Butterscotch,NULL
2196,Mycobacterium_phage_Buttons,NULL
2197,Mycobacterium_phage_BuzzBuzz,NULL
2198,Mycobacterium_phage_Bxb1,NULL
2199,Mycobacterium_phage_Bxz2,NULL
2200,Mycobacterium_phage_Byougenkin,NULL
2201,Corynebacterium_phage_C3PO,NULL
2202,Mycobacterium_phage_Cactus,NULL
2203,Mycobacterium_phage_CactusRose,NULL
2204,Mycobacterium_phage_Caelakin,NULL
2205,Streptomyces_phage_Caelum,NULL
2206,Mycobacterium_phage_Cain,NULL
2207,Mycobacterium_phage_Cali,NULL
2208,Arthrobacter_phage_CallieOMalley,NULL
2209,Mycobacterium_phage_Camperdownii,NULL
2210,Mycobacterium_phage_Cannibal,NULL
2211,Arthrobacter_phage_Canowicakte,NULL
2212,Arthrobacter_phage_CapnMurica,NULL
2213,Mycobacterium_phage_Capricorn,NULL
2214,Arthrobacter_phage_Caterpillar,NULL
2215,Mycobacterium_phage_Cborch11,NULL
2216,Mycobacterium_phage_Cedasite,NULL
2217,Mycobacterium_phage_Centaur,NULL
2218,Mycobacterium_phage_CentreCat,NULL
2219,Mycobacterium_phage_Cerulean,NULL
2220,Arthrobacter_phage_CGermain,NULL
2221,Mycobacterium_phage_ChaChing,NULL
2222,Mycobacterium_phage_Chah,NULL
2223,Mycobacterium_phage_ChampagnePapi,NULL
2224,Mycobacterium_phage_Chance64,NULL
2225,Mycobacterium_phage_Chancellor,NULL
2226,Mycobacterium_phage_Chandler,NULL
2227,Mycobacterium_phage_Changeling,NULL
2228,Mycobacterium_phage_CharlieB,NULL
2229,Mycobacterium_phage_CharlieGBrown,NULL
2230,Mycobacterium_phage_Charm,NULL
2231,Mycobacterium_phage_Che12,NULL
2232,Mycobacterium_phage_Che8,NULL
2233,Mycobacterium_phage_Che9c,NULL
2234,Mycobacterium_phage_Che9d,NULL
2235,Arthrobacter_phage_Cheesy,NULL
2236,Mycobacterium_phage_CheetO,NULL
2237,Gordonia_phage_Chelms,NULL
2238,Mycobacterium_phage_Cherrybomb426,NULL
2239,Arthrobacter_phage_Chestnut,NULL
2240,Rhodococcus_phage_ChewyVIII,NULL
2241,Mycobacterium_phage_ChickenPhender,NULL
2242,Mycobacterium_phage_Chill,NULL
2243,Mycobacterium_phage_ChipMunk,NULL
2244,Arthrobacter_phage_Chipper1996,NULL
2245,Arthrobacter_phage_Chocolat,NULL
2246,Arthrobacter_phage_Cholula,NULL
2247,Mycobacterium_phage_Chorkpop,NULL
2248,Mycobacterium_phage_ChosenOne,NULL
2249,Mycobacterium_phage_ChrisnMich,NULL
2250,Arthrobacter_phage_Christian,NULL
2251,Arthrobacter_phage_Chubster,NULL
2252,Mycobacterium_phage_Chuckly,NULL
2253,Mycobacterium_phage_Chunky,NULL
2254,Mycobacterium_phage_Chupacabra,NULL
2255,Streptomyces_phage_Chymera,NULL
2256,Mycobacterium_phage_Cindaradix,NULL
2257,Arthrobacter_phage_Circum,NULL
2258,Mycobacterium_phage_Citius,NULL
2259,Mycobacterium_phage_Cjw1,NULL
2260,Mycobacterium_phage_Clarenza,NULL
2261,Mycobacterium_phage_Clautastrophe,NULL
2262,Mycobacterium_phage_CLED96,NULL
2263,Mycobacterium_phage_Cobra,NULL
2264,Mycobacterium_phage_Cocoaberry,NULL
2265,Gordonia_phage_Coeur,NULL
2266,Mycobacterium_phage_Coffee,NULL
2267,Mycobacterium_phage_Collard,NULL
2268,Mycobacterium_phage_Colt,NULL
2269,Arthrobacter_phage_Colucci,NULL
2270,Mycobacterium_phage_Command613,NULL
2271,Mycobacterium_phage_Commander,NULL
2272,Mycobacterium_phage_Compostia,NULL
2273,Streptomyces_phage_Comrade,NULL
2274,Arthrobacter_phage_Conboy,NULL
2275,Mycobacterium_phage_ConceptII,NULL
2276,Gordonia_phage_Confidence,NULL
2277,Mycobacterium_phage_Connomayer,NULL
2278,Mycobacterium_phage_Conquerage,NULL
2279,Mycobacterium_phage_Coog,NULL
2280,Mycobacterium_phage_Cookies,NULL
2281,Arthrobacter_phage_Copper,NULL
2282,Mycobacterium_phage_Corndog,NULL
2283,Mycobacterium_phage_Cornie,NULL
2284,Mycobacterium_phage_Cornucopia,NULL
2285,Mycobacterium_phage_Corofin,NULL
2286,Arthrobacter_phage_Correa,NULL
2287,Mycobacterium_phage_Corvo,NULL
2288,Mycobacterium_phage_Cosmo,NULL
2289,Mycobacterium_phage_Cosmolli16,NULL
2290,Propionibacterium_phage_Cota,NULL
2291,Mycobacterium_phage_Courthouse,NULL
2292,Arthrobacter_phage_Courtney3,NULL
2293,Mycobacterium_phage_Craff,NULL
2294,Mycobacterium_phage_CREW,NULL
2295,Mycobacterium_phage_CrimD,NULL
2296,Mycobacterium_phage_Crispicous1,NULL
2297,Streptomyces_phage_Crosby,NULL
2298,Mycobacterium_phage_Crossroads,NULL
2299,Mycobacterium_phage_Crownjwl,NULL
2300,Mycobacterium_phage_Crucio,NULL
2301,Corynebacterium_phage_Cruella,NULL
2302,Mycobacterium_phage_CrystalP,NULL
2303,Mycobacterium_phage_Cuco,NULL
2304,Mycobacterium_phage_Cueylyss,NULL
2305,Mycobacterium_phage_Cuke,NULL
2306,Gordonia_phage_Cynthia,NULL
2307,Mycobacterium_phage_Czyszczon1,NULL
2308,Mycobacterium_phage_D29,NULL
2309,Mycobacterium_phage_Daegal,NULL
2310,Mycobacterium_phage_Daenerys,NULL
2311,Mycobacterium_phage_Daffodil,NULL
2312,Mycobacterium_phage_Daffy,NULL
2313,Mycobacterium_phage_DaHudson,NULL
2314,Mycobacterium_phage_Daishi,NULL
2315,Mycobacterium_phage_Daisy,NULL
2316,Mycobacterium_phage_Dalmatian,NULL
2317,Mycobacterium_phage_Dalmuri,NULL
2318,Gordonia_phage_Danyall,NULL
2319,Streptomyces_phage_Danzina,NULL
2320,Gordonia_phage_Daredevil,NULL
2321,Mycobacterium_phage_DarthP,NULL
2322,Mycobacterium_phage_DarthPhader,NULL
2323,Corynebacterium_phage_Darwin,NULL
2324,Gordonia_phage_DatBoi,NULL
2325,Streptomyces_phage_Dattran,NULL
2326,Mycobacterium_phage_DaVinci,NULL
2327,Mycobacterium_phage_DaWorst,NULL
2328,Mycobacterium_phage_DBQu4n,NULL
2329,Mycobacterium_phage_DD5,NULL
2330,Mycobacterium_phage_DeadP,NULL
2331,Mycobacterium_phage_Deby,NULL
2332,Gordonia_phage_Delian,NULL
2333,Mycobacterium_phage_Delilah,NULL
2334,Mycobacterium_phage_Demsculpinboyz,NULL
2335,Mycobacterium_phage_Derek,NULL
2336,Mycobacterium_phage_Derpp,NULL
2337,Arthrobacter_phage_Dewayne,NULL
2338,Gordonia_phage_Dexdert,NULL
2339,Mycobacterium_phage_Dhanush,NULL
2340,Mycobacterium_phage_Dieselweasel,NULL
2341,Mycobacterium_phage_DillTech15,NULL
2342,Rhodococcus_phage_Dinger,NULL
2343,Mycobacterium_phage_Dingo,NULL
2344,Arthrobacter_phage_Dino,NULL
2345,Gordonia_phage_DinoDaryn,NULL
2346,Mycobacterium_phage_Dione,NULL
2347,Mycobacterium_phage_DirtMcgirt,NULL
2348,Mycobacterium_phage_DirtyDunning,NULL
2349,Mycobacterium_phage_DismalFunk,NULL
2350,Mycobacterium_phage_DismalStressor,NULL
2351,Mycobacterium_phage_Dixon,NULL
2352,Gordonia_phage_Djokovic,NULL
2353,Mycobacterium_phage_DLane,NULL
2354,Gordonia_phage_Dmitri,NULL
2355,Mycobacterium_phage_DmpstrDiver,NULL
2356,Mycobacterium_phage_DoesntMatter,NULL
2357,Mycobacterium_phage_Donny,NULL
2358,Mycobacterium_phage_DonSanchon,NULL
2359,Mycobacterium_phage_Doom,NULL
2360,Mycobacterium_phage_Dorothy,NULL
2361,Mycobacterium_phage_DotProduct,NULL
2362,Propionibacterium_phage_Doucette,NULL
2363,Mycobacterium_phage_Drago,NULL
2364,Mycobacterium_phage_Drake55,NULL
2365,Mycobacterium_phage_Drazdys,NULL
2366,Mycobacterium_phage_DRBy19,NULL
2367,Mycobacterium_phage_DreamCatcher,NULL
2368,Streptomyces_phage_DrGrey,NULL
2369,Mycobacterium_phage_DrHayes,NULL
2370,Arthrobacter_phage_DrManhattan,NULL
2371,Propionibacterium_phage_DrParker,NULL
2372,Mycobacterium_phage_DrPhinkDaddy,NULL
2373,Arthrobacter_phage_DrRobert,NULL
2374,Mycobacterium_phage_Druantia,NULL
2375,Arthrobacter_phage_DrYang,NULL
2376,Mycobacterium_phage_DTDevon,NULL
2377,Mycobacterium_phage_Dublin,NULL
2378,Mycobacterium_phage_DuchessDung,NULL
2379,Mycobacterium_phage_DudeLittle,NULL
2380,Mycobacterium_phage_Duke13,NULL
2381,Mycobacterium_phage_Dulcie,NULL
2382,Mycobacterium_phage_Durga,NULL
2383,Mycobacterium_phage_Dylan,NULL
2384,Mycobacterium_phage_Dynamix,NULL
2385,Mycobacterium_phage_DyoEdafos,NULL
2386,Propionibacterium_phage_E1,NULL
2387,Propionibacterium_phage_E6,NULL
2388,Mycobacterium_phage_Eagle,NULL
2389,Mycobacterium_phage_Eaglehorse,NULL
2390,Mycobacterium_phage_Eapen,NULL
2391,Mycobacterium_phage_Easy2Say,NULL
2392,Gordonia_phage_Ebert,NULL
2393,Mycobacterium_phage_Ebony,NULL
2394,Streptomyces_phage_Eddasa,NULL
2395,Arthrobacter_phage_EdgarPoe,NULL
2396,Arthrobacter_phage_Edmundo,NULL
2397,Mycobacterium_phage_Edugator,NULL
2398,Mycobacterium_phage_Efra2,NULL
2399,Mycobacterium_phage_Eidsmoe,NULL
2400,Mycobacterium_phage_Ein37,NULL
2401,Streptomyces_phage_ELB20,NULL
2402,Arthrobacter_phage_ElephantMan,NULL
2403,Mycobacterium_phage_Elite2014,NULL
2404,Arthrobacter_phage_Elkhorn,NULL
2405,Mycobacterium_phage_Elph10,NULL
2406,Arthrobacter_phage_Elsa,NULL
2407,Mycobacterium_phage_ElTiger69,NULL
2408,Mycobacterium_phage_Emerson,NULL
2409,Gordonia_phage_Emianna,NULL
2410,Corynebacterium_phage_EmiRose,NULL
2411,Mycobacterium_phage_Emma,NULL
2412,Mycobacterium_phage_EmmaElysia,NULL
2413,Gordonia_phage_EMoore,NULL
2414,Gordonia_phage_Emperor,NULL
2415,Mycobacterium_phage_Empress,NULL
2416,Mycobacterium_phage_EmpTee,NULL
2417,Mycobacterium_phage_EmToTheThree,NULL
2418,Mycobacterium_phage_EniyanLRS,NULL
2419,Mycobacterium_phage_EpicPhail,NULL
2420,Mycobacterium_phage_Erdmann,NULL
2421,Mycobacterium_phage_EricB,NULL
2422,Mycobacterium_phage_EricMillard,NULL
2423,Rhodococcus_phage_Erik,NULL
2424,Mycobacterium_phage_Eris,NULL
2425,Mycobacterium_phage_Erk16,NULL
2426,Mycobacterium_phage_ErnieJ,NULL
2427,Mycobacterium_phage_Eros,NULL
2428,Rhodococcus_phage_Espica,NULL
2429,Mycobacterium_phage_Essence,NULL
2430,Mycobacterium_phage_Estave1,NULL
2431,Mycobacterium_phage_Et2Brutus,NULL
2432,Mycobacterium_phage_Euphoria,NULL
2433,Mycobacterium_phage_Eureka,NULL
2434,Gordonia_phage_Evamon,NULL
2435,Mycobacterium_phage_Evanesce,NULL
2436,Gordonia_phage_Eviarto,NULL
2437,Mycobacterium_phage_Ewok,NULL
2438,Gordonia_phage_Exiguo,NULL
2439,Mycobacterium_phage_Expelliarmus,NULL
2440,Gordonia_phage_Eyes,NULL
2441,Gordonia_phage_Fairfaxidum,NULL
2442,Mycobacterium_phage_Faith1,NULL
2443,Mycobacterium_phage_Fajezeel,NULL
2444,Mycobacterium_phage_Fameo,NULL
2445,Mycobacterium_phage_Familton,NULL
2446,Mycobacterium_phage_Fang,NULL
2447,Mycobacterium_phage_Farber,NULL
